Tiempo;Objetos;Arquitectura;Efectos;Resolucion
13.87;4000;APU;AA-TR-NA;1920x1080
10.90;4000;APU;AA-TR-NA;1280x720
6.72;1000;APU;AA-NA-RE;1280x720
84.71;260000;APU;AA-NA-RE;1280x720
19.44;16000;APU;AA-NA-RE;1280x720
9.42;4000;APU;AA-NA-NA;1920x1080
19.08;260000;APU;NA-TR-NA;1440x900
55.16;16000;APU;AA-TR-RE;1440x900
4.14;1000;APU;NA-NA-RE;1440x900
9.52;4000;APU;AA-NA-NA;1920x1080
5.67;16000;APU;NA-NA-NA;1920x1080
9.98;16000;APU;AA-NA-NA;1280x720
3.62;1000;APU;NA-NA-RE;1280x720
12.70;4000;APU;AA-NA-RE;1440x900
19.44;16000;APU;AA-TR-NA;1280x720
66.92;260000;APU;AA-TR-NA;1280x720
20.09;260000;APU;NA-NA-RE;1280x720
5.03;4000;APU;NA-NA-RE;1440x900
55.09;65000;APU;AA-NA-RE;1920x1080
4.51;1000;APU;NA-TR-RE;1920x1080
12.28;4000;APU;AA-TR-NA;1440x900
4.23;1000;APU;NA-NA-NA;1920x1080
101.18;260000;APU;AA-NA-RE;1440x900
15.58;16000;APU;NA-TR-RE;1920x1080
28.11;260000;APU;NA-NA-RE;1920x1080
4.00;4000;APU;NA-NA-NA;1280x720
24.31;4000;APU;AA-TR-RE;1920x1080
4.53;4000;APU;NA-NA-RE;1280x720
6.09;16000;APU;NA-NA-RE;1280x720
24.33;4000;APU;AA-TR-RE;1920x1080
30.34;65000;APU;AA-TR-NA;1280x720
13.35;260000;APU;NA-NA-NA;1440x900
5.38;1000;APU;AA-NA-NA;1280x720
5.69;4000;APU;NA-TR-RE;1280x720
3.99;1000;APU;NA-NA-NA;1440x900
124.96;260000;APU;AA-NA-RE;1920x1080
306.85;260000;APU;AA-TR-RE;1920x1080
3.41;1000;APU;NA-NA-NA;1280x720
20.26;4000;APU;AA-TR-RE;1440x900
5.62;4000;APU;NA-NA-RE;1920x1080
6.01;1000;APU;AA-NA-NA;1440x900
5.23;4000;APU;NA-TR-RE;1280x720
18.67;16000;APU;AA-NA-RE;1280x720
8.23;4000;APU;AA-NA-NA;1440x900
135.59;65000;APU;AA-TR-RE;1920x1080
305.31;260000;APU;AA-TR-RE;1920x1080
11.26;65000;APU;NA-NA-RE;1440x900
17.16;4000;APU;AA-TR-RE;1280x720
19.38;65000;APU;AA-NA-NA;1440x900
17.15;4000;APU;AA-TR-RE;1280x720
3.86;1000;APU;NA-NA-NA;1440x900
22.73;16000;APU;AA-TR-NA;1440x900
36.44;65000;APU;AA-TR-NA;1440x900
6.32;1000;APU;AA-NA-RE;1280x720
5.15;16000;APU;NA-NA-NA;1440x900
64.30;260000;APU;NA-TR-RE;1920x1080
9.60;1000;APU;AA-TR-RE;1920x1080
110.86;65000;APU;AA-TR-RE;1440x900
101.55;260000;APU;AA-NA-RE;1440x900
5.22;4000;APU;NA-TR-RE;1280x720
42.28;260000;APU;NA-TR-RE;1280x720
9.55;1000;APU;AA-TR-RE;1920x1080
8.35;4000;APU;AA-NA-NA;1440x900
8.55;1000;APU;AA-TR-RE;1440x900
101.47;260000;APU;AA-NA-RE;1440x900
4.23;1000;APU;NA-TR-RE;1440x900
18.48;65000;APU;NA-TR-RE;1280x720
56.53;16000;APU;AA-TR-RE;1440x900
7.43;4000;APU;AA-NA-NA;1280x720
137.18;65000;APU;AA-TR-RE;1920x1080
11.92;4000;APU;AA-TR-NA;1440x900
54.90;260000;APU;AA-NA-NA;1920x1080
4.09;1000;APU;NA-TR-RE;1440x900
9.59;1000;APU;AA-TR-RE;1920x1080
10.57;4000;APU;AA-TR-NA;1280x720
9.50;4000;APU;AA-NA-NA;1920x1080
36.11;65000;APU;AA-TR-NA;1440x900
10.56;16000;APU;NA-TR-RE;1280x720
3.91;1000;APU;NA-NA-RE;1440x900
18.47;65000;APU;NA-TR-RE;1280x720
21.18;4000;APU;AA-TR-RE;1440x900
11.28;16000;APU;AA-NA-NA;1440x900
65.58;16000;APU;AA-TR-RE;1920x1080
13.25;260000;APU;NA-NA-NA;1440x900
19.15;16000;APU;AA-TR-NA;1280x720
44.05;65000;APU;AA-NA-RE;1440x900
7.24;1000;APU;AA-NA-RE;1440x900
7.41;16000;APU;NA-NA-RE;1440x900
110.25;65000;APU;AA-TR-RE;1440x900
44.01;65000;APU;AA-NA-RE;1440x900
3.70;1000;APU;NA-TR-NA;1280x720
77.65;260000;APU;AA-TR-NA;1440x900
43.92;65000;APU;AA-NA-RE;1440x900
8.77;16000;APU;NA-NA-RE;1920x1080
11.81;260000;APU;NA-NA-NA;1280x720
13.95;16000;APU;AA-NA-NA;1920x1080
36.90;65000;APU;AA-TR-NA;1440x900
53.28;260000;APU;NA-TR-RE;1440x900
7.56;65000;APU;NA-NA-NA;1440x900
40.22;260000;APU;AA-NA-NA;1280x720
24.11;260000;APU;NA-NA-RE;1440x900
10.74;16000;APU;NA-TR-RE;1280x720
4.89;4000;APU;NA-NA-NA;1920x1080
16.15;65000;APU;AA-NA-NA;1280x720
92.63;260000;APU;AA-TR-NA;1920x1080
13.89;16000;APU;AA-NA-NA;1920x1080
5.56;4000;APU;NA-TR-NA;1920x1080
5.86;16000;APU;NA-NA-NA;1920x1080
22.98;65000;APU;AA-NA-NA;1920x1080
30.31;65000;APU;AA-TR-NA;1280x720
17.52;4000;APU;AA-TR-RE;1280x720
4.63;4000;APU;NA-NA-NA;1440x900
7.19;1000;APU;AA-NA-RE;1440x900
3.53;1000;APU;NA-NA-RE;1280x720
26.31;16000;APU;AA-TR-NA;1920x1080
4.09;1000;APU;NA-NA-NA;1920x1080
19.88;16000;APU;AA-TR-NA;1280x720
9.62;4000;APU;AA-NA-NA;1920x1080
55.61;65000;APU;AA-NA-RE;1920x1080
4.40;4000;APU;NA-TR-NA;1280x720
6.29;65000;APU;NA-NA-NA;1280x720
82.76;260000;APU;AA-NA-RE;1280x720
5.06;4000;APU;NA-NA-NA;1920x1080
13.59;16000;APU;NA-TR-RE;1440x900
4.24;4000;APU;NA-NA-NA;1440x900
13.26;260000;APU;NA-NA-NA;1440x900
7.81;1000;APU;AA-TR-RE;1280x720
65.00;260000;APU;NA-TR-RE;1920x1080
4.44;1000;APU;NA-TR-RE;1920x1080
4.15;1000;APU;NA-NA-NA;1920x1080
23.28;16000;APU;AA-TR-NA;1440x900
7.97;1000;APU;AA-NA-RE;1920x1080
4.53;1000;APU;NA-TR-RE;1920x1080
3.58;1000;APU;NA-NA-RE;1280x720
4.27;1000;APU;NA-TR-NA;1440x900
8.23;16000;APU;NA-TR-NA;1920x1080
14.00;4000;APU;AA-TR-NA;1920x1080
7.38;1000;APU;AA-TR-NA;1440x900
7.97;16000;APU;NA-TR-NA;1920x1080
9.28;65000;APU;NA-NA-RE;1280x720
65.93;16000;APU;AA-TR-RE;1920x1080
3.86;1000;APU;NA-NA-NA;1440x900
4.25;1000;APU;NA-TR-RE;1440x900
5.96;1000;APU;AA-NA-NA;1440x900
3.86;1000;APU;NA-TR-RE;1280x720
7.12;16000;APU;NA-TR-NA;1440x900
24.72;4000;APU;AA-TR-RE;1920x1080
19.97;4000;APU;AA-TR-RE;1440x900
11.02;4000;APU;AA-TR-NA;1280x720
4.37;4000;APU;NA-NA-NA;1440x900
7.91;1000;APU;AA-TR-NA;1920x1080
3.75;1000;APU;NA-TR-NA;1280x720
196.10;260000;APU;AA-TR-RE;1280x720
15.48;65000;APU;AA-NA-NA;1280x720
26.50;16000;APU;AA-TR-NA;1920x1080
6.40;4000;APU;NA-TR-RE;1440x900
92.67;260000;APU;AA-TR-NA;1920x1080
29.99;65000;APU;AA-TR-NA;1280x720
13.14;16000;APU;NA-TR-RE;1440x900
8.18;16000;APU;NA-TR-NA;1920x1080
44.13;65000;APU;AA-TR-NA;1920x1080
29.67;65000;APU;NA-TR-RE;1920x1080
307.32;260000;APU;AA-TR-RE;1920x1080
6.64;1000;APU;AA-NA-RE;1280x720
8.04;1000;APU;AA-TR-NA;1920x1080
